Designator,Package,Mid X,Mid Y,Rotation,Layer
C1,C_0603_1608Metric,135.775,-101.8,180,top
C2,C_0603_1608Metric,140.425,-102,180,top
C3,C_0603_1608Metric,132.1,-100.875,-90,top
CN1,CONN-SMD_SM05B-SRSS-TB-LF-SN,151.5,-73,180,top
D1,SOD993_L1.0-W0.6-LS1.0-RD,145.5,-75.8,90,top
D2,SOD993_L1.0-W0.6-LS1.0-RD,147,-97.5,90,top
R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,126.7,-105.9,180,top
R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,145.5875,-91.75,0,top
R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,145.5875,-89,0,top
R4,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,143.2,-97.2,180,top
R5,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,134.8125,-97.3,0,top
SW1,SW-SMD_MK-12C02-G020,140,-72.36,180,top
U1,IC_ICM-45686,140,-99.5,0,top
U2,X1-WLB0808-4_L0.8-W0.8-P0.40-TL,134.7,-99.3,180,top
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,140.7,-93.3,180,top
